task,algorithm,seed,interactions,mean_max_q,signed_bias,positive_bias,mean_absolute_q_error,goal_success,path_steps,collisions
diagnostic,EQLBPW,0,1210,0.482840895652771,0.482840895652771,0.482840895652771,0.4269261881709099,,,
diagnostic,EQLBPW,0,1220,0.5004933476448059,0.5004933476448059,0.5004933476448059,0.44212228804826736,,,
diagnostic,EQLBPW,0,1230,0.5351446270942688,0.5351446270942688,0.5351446270942688,0.47044529765844345,,,
diagnostic,EQLBPW,0,1240,0.5522804856300354,0.5522804856300354,0.5522804856300354,0.4837094321846962,,,
diagnostic,EQLBPW,0,1250,0.5426850318908691,0.5426850318908691,0.5426850318908691,0.4792674630880356,,,
diagnostic,EQLBPW,0,1260,0.5194644331932068,0.5194644331932068,0.5194644331932068,0.4758926331996918,,,
diagnostic,EQLBPW,0,1270,0.4967978596687317,0.4967978596687317,0.4967978596687317,0.46754076331853867,,,
diagnostic,EQLBPW,0,1280,0.4940491020679474,0.4940491020679474,0.4940491020679474,0.46406348049640656,,,
diagnostic,EQLBPW,0,1290,0.49853456020355225,0.49853456020355225,0.49853456020355225,0.4552798643708229,,,
diagnostic,EQLBPW,0,1300,0.5039157867431641,0.5039157867431641,0.5039157867431641,0.45148422569036484,,,
diagnostic,EQLBPW,0,1310,0.49354884028434753,0.49354884028434753,0.49354884028434753,0.4439535140991211,,,
diagnostic,EQLBPW,0,1320,0.48546233773231506,0.48546233773231506,0.48546233773231506,0.44686906039714813,,,
diagnostic,EQLBPW,0,1330,0.4992142915725708,0.4992142915725708,0.4992142915725708,0.45661308616399765,,,
diagnostic,EQLBPW,0,1340,0.5028994083404541,0.5028994083404541,0.5028994083404541,0.4659271687269211,,,
diagnostic,EQLBPW,0,1350,0.47561997175216675,0.47561997175216675,0.47561997175216675,0.44597195088863373,,,
diagnostic,EQLBPW,0,1360,0.44328397512435913,0.44328397512435913,0.44328397512435913,0.4187517762184143,,,
diagnostic,EQLBPW,0,1370,0.42816731333732605,0.42816731333732605,0.42816731333732605,0.40474510192871094,,,
diagnostic,EQLBPW,0,1380,0.4530484676361084,0.4530484676361084,0.4530484676361084,0.40830374509096146,,,
diagnostic,EQLBPW,0,1390,0.4756007194519043,0.4756007194519043,0.4756007194519043,0.41817838698625565,,,
diagnostic,EQLBPW,0,1400,0.49936941266059875,0.49936941266059875,0.49936941266059875,0.42980602383613586,,,
diagnostic,EQLBPW,0,1410,0.5184230208396912,0.5184230208396912,0.5184230208396912,0.4483417421579361,,,
diagnostic,EQLBPW,0,1420,0.5178493857383728,0.5178493857383728,0.5178493857383728,0.45826340466737747,,,
diagnostic,EQLBPW,0,1430,0.5139365196228027,0.5139365196228027,0.5139365196228027,0.46455761790275574,,,
diagnostic,EQLBPW,0,1440,0.5167679190635681,0.5167679190635681,0.5167679190635681,0.4758152440190315,,,
diagnostic,EQLBPW,0,1450,0.5045223832130432,0.5045223832130432,0.5045223832130432,0.48061807453632355,,,
diagnostic,EQLBPW,0,1460,0.5093550682067871,0.5093550682067871,0.5093550682067871,0.4885442405939102,,,
diagnostic,EQLBPW,0,1470,0.5056992173194885,0.5056992173194885,0.5056992173194885,0.4788718447089195,,,
diagnostic,EQLBPW,0,1480,0.48090997338294983,0.48090997338294983,0.48090997338294983,0.451142318546772,,,
diagnostic,EQLBPW,0,1490,0.44661715626716614,0.44661715626716614,0.44661715626716614,0.41605520993471146,,,
diagnostic,EQLBPW,0,1500,0.4295779764652252,0.4295779764652252,0.4295779764652252,0.3997374325990677,,,
diagnostic,EQLBPW,0,1510,0.43428316712379456,0.43428316712379456,0.43428316712379456,0.3962940275669098,,,
diagnostic,EQLBPW,0,1520,0.4644717574119568,0.4644717574119568,0.4644717574119568,0.40948283672332764,,,
diagnostic,EQLBPW,0,1530,0.4827769100666046,0.4827769100666046,0.4827769100666046,0.42750614136457443,,,
diagnostic,EQLBPW,0,1540,0.5087148547172546,0.5087148547172546,0.5087148547172546,0.44891954213380814,,,
diagnostic,EQLBPW,0,1550,0.5245266556739807,0.5245266556739807,0.5245266556739807,0.4636828079819679,,,
diagnostic,EQLBPW,0,1560,0.5008984804153442,0.5008984804153442,0.5008984804153442,0.45910458266735077,,,
diagnostic,EQLBPW,0,1570,0.48787909746170044,0.48787909746170044,0.48787909746170044,0.45955638587474823,,,
diagnostic,EQLBPW,0,1580,0.5006819367408752,0.5006819367408752,0.5006819367408752,0.46562252193689346,,,
diagnostic,EQLBPW,0,1590,0.5190404057502747,0.5190404057502747,0.5190404057502747,0.47873634099960327,,,
diagnostic,EQLBPW,0,1600,0.5272972583770752,0.5272972583770752,0.5272972583770752,0.48614926636219025,,,
diagnostic,EQLBPW,0,1610,0.5552300214767456,0.5552300214767456,0.5552300214767456,0.51199971139431,,,
diagnostic,EQLBPW,0,1620,0.5640429854393005,0.5640429854393005,0.5640429854393005,0.5191851258277893,,,
diagnostic,EQLBPW,0,1630,0.5508269667625427,0.5508269667625427,0.5508269667625427,0.5071094334125519,,,
diagnostic,EQLBPW,0,1640,0.5333561897277832,0.5333561897277832,0.5333561897277832,0.4995751902461052,,,
diagnostic,EQLBPW,0,1650,0.5309638381004333,0.5309638381004333,0.5309638381004333,0.49769284576177597,,,
diagnostic,EQLBPW,0,1660,0.5225520133972168,0.5225520133972168,0.5225520133972168,0.48537129908800125,,,
diagnostic,EQLBPW,0,1670,0.5194368958473206,0.5194368958473206,0.5194368958473206,0.48541854321956635,,,
diagnostic,EQLBPW,0,1680,0.4990714490413666,0.4990714490413666,0.4990714490413666,0.4806900843977928,,,
diagnostic,EQLBPW,0,1690,0.5018135905265808,0.5018135905265808,0.5018135905265808,0.4806751161813736,,,
diagnostic,EQLBPW,0,1700,0.49181920289993286,0.49181920289993286,0.49181920289993286,0.47773898392915726,,,
diagnostic,EQLBPW,0,1710,0.4978042542934418,0.4978042542934418,0.4978042542934418,0.481813482940197,,,
diagnostic,EQLBPW,0,1720,0.5015391707420349,0.5015391707420349,0.5015391707420349,0.4697221368551254,,,
diagnostic,EQLBPW,0,1730,0.4872037470340729,0.4872037470340729,0.4872037470340729,0.4497484266757965,,,
diagnostic,EQLBPW,0,1740,0.4712129831314087,0.4712129831314087,0.4712129831314087,0.4446730315685272,,,
diagnostic,EQLBPW,0,1750,0.4863698482513428,0.4863698482513428,0.4863698482513428,0.4544557109475136,,,
diagnostic,EQLBPW,0,1760,0.5050752758979797,0.5050752758979797,0.5050752758979797,0.46125567704439163,,,
diagnostic,EQLBPW,0,1770,0.5174872875213623,0.5174872875213623,0.5174872875213623,0.461447611451149,,,
diagnostic,EQLBPW,0,1780,0.5279756784439087,0.5279756784439087,0.5279756784439087,0.4698755517601967,,,
diagnostic,EQLBPW,0,1790,0.5355987548828125,0.5355987548828125,0.5355987548828125,0.4722616672515869,,,
diagnostic,EQLBPW,0,1800,0.5298053622245789,0.5298053622245789,0.5298053622245789,0.46751225739717484,,,
diagnostic,EQLBPW,0,1810,0.564748227596283,0.564748227596283,0.564748227596283,0.4880599230527878,,,
diagnostic,EQLBPW,0,1820,0.608837902545929,0.608837902545929,0.608837902545929,0.5156935900449753,,,
diagnostic,EQLBPW,0,1830,0.6004818081855774,0.6004818081855774,0.6004818081855774,0.5092604085803032,,,
diagnostic,EQLBPW,0,1840,0.592727541923523,0.592727541923523,0.592727541923523,0.5161787047982216,,,
diagnostic,EQLBPW,0,1850,0.5711655020713806,0.5711655020713806,0.5711655020713806,0.5027865692973137,,,
diagnostic,EQLBPW,0,1860,0.5324031710624695,0.5324031710624695,0.5324031710624695,0.48054277896881104,,,
diagnostic,EQLBPW,0,1870,0.5189300775527954,0.5189300775527954,0.5189300775527954,0.4776316359639168,,,
diagnostic,EQLBPW,0,1880,0.5408185124397278,0.5408185124397278,0.5408185124397278,0.5004163905978203,,,
diagnostic,EQLBPW,0,1890,0.5579395890235901,0.5579395890235901,0.5579395890235901,0.5105020999908447,,,
diagnostic,EQLBPW,0,1900,0.5532910227775574,0.5532910227775574,0.5532910227775574,0.5060497969388962,,,
diagnostic,EQLBPW,0,1910,0.5298699140548706,0.5298699140548706,0.5298699140548706,0.48977599292993546,,,
